index,artist,title,language,location,year,LAT,LONG,SHORT_NAME
139,Aaron [US],His Way,English,United States,1979,39.828175,-98.5795,United States
140,Chris Conrad,My Way,English,United Kingdom,1979,54.0,-4.0,United Kingdom
141,Svante Thuresson,My Way,English,Sweden,1979,62.0,15.0,Sweden
142,Martha Miyake,My Way,English,Japan,1979,36.0,138.0,Japan
143,Jim Davidson [1],My Way,English,United Kingdom,1980,54.0,-4.0,United Kingdom
144,Tiny Tim,My Way,English,United States,1980,39.828175,-98.5795,United States
145,Ronnie Tober,My Way,English,Netherlands,1981,52.5,5.75,Netherlands
146,Jerry Deewood,My Way,English,Belgium,1982,50.833333,4.0,Belgium
147,Lee Towers,My Way,English,Netherlands,1983,52.5,5.75,Netherlands
148,Danny King,My Way,English,United Kingdom,1984,54.0,-4.0,United Kingdom
149,Will Tura,My Way,English,Belgium,1985,50.833333,4.0,Belgium
150,Töreboda musikkår och storband,My Way,English,Sweden,1986,62.0,15.0,Sweden
151,Boba Stefanović,My Way,English,Serbia,1987,44.0,21.0,Serbia
152,Elvis Wade,My Way,English,United States,1987,39.828175,-98.5795,United States
153,Ty Tender & The Rockin' Fifties,My Way,English,Austria,1988,47.333333,13.333332999999998,Austria
154,Will Ferdy,My Way,English,Belgium,1992,50.833333,4.0,Belgium
155,Fiorello,My Way,English,Italy,1992,42.833333,12.833333,Italy
156,Kramer,My Way,English,United States,1993,39.828175,-98.5795,United States
157,Hubbas,My Way (Comme d'habitude),English,Sweden,1994,62.0,15.0,Sweden
158,Dread Zeppelin,My Way,English,United States,1995,39.828175,-98.5795,United States
159,Shane MacGowan,My Way,English,Ireland,1996,53.0,-8.0,Ireland
160,The Bollock Brothers,My Way,English,United Kingdom,1996,54.0,-4.0,United Kingdom
161,Paul Anka con Julio Iglesias,My Way (A mi manera),Requestasynchronizationlicense,Canada,1996,60.0,-96.0,Canada
162,Brian Evans,My Way,English,United States,1996,39.828175,-98.5795,United States
163,Audio Active,My Way,English,Japan,1997,36.0,138.0,Japan
164,Australian Blonde,My Way,English,Spain,1998,40.0,-4.0,Spain
165,Stan Ridgway,My Way,English,United States,1998,39.828175,-98.5795,United States
166,Kjell Elvis,My Way,English,Norway,1998,62.0,10.0,Norway
167,Los Piratas,My Way,English,Spain,1998,40.0,-4.0,Spain
168,Doran,My Way,English,Belgium,1998,50.833333,4.0,Belgium
169,Paul Anka with Frank Sinatra,My Way,English,United States,1998,39.828175,-98.5795,United States
170,Bobo Moreno + Singers & RadioUnderholdningsOrkestret,My Way,English,Denmark,1999,56.0,10.0,Denmark
171,Dean Michael,My Way,English,Denmark,2000,56.0,10.0,Denmark
172,Keely Smith,My Way,English,United States,2001,39.828175,-98.5795,United States
173,Rita Forte,My Way,English,Italy,1985,42.833333,12.833333,Italy
174,Herman Brood,My Way,English,Netherlands,2001,52.5,5.75,Netherlands
175,Robbie Williams,My Way,English,United Kingdom,2001,54.0,-4.0,United Kingdom
176,"Loa Falkman, Meta Roos; Malmö Fire Brigade Big Band",My Way,English,Sweden,2001,62.0,15.0,Sweden
177,Jesper Lundgaard,Danny Boy/My Way,Requestasynchronizationlicense,Denmark,2002,56.0,10.0,Denmark
178,Little Milton,My Way,English,United States,2002,39.828175,-98.5795,United States
179,Joe Martino,My Way,English,United States,2003,39.828175,-98.5795,United States
180,Big Fat Snake with TCB Band & Sweet Inspirations,My Way,English,United States,2003,39.828175,-98.5795,United States
181,Don Thomas [1],My Way,English,United States,2004,39.828175,-98.5795,United States
182,Andy Lee Lang & The Marco Zarello Big Band,My Way,English,Austria,2004,47.333333,13.333332999999998,Austria
